1 9.53674e-07
2 9.53674e-07
3 9.53674e-07
4 4.05312e-06
5 7.86781e-06
6 1.28746e-05
7 1.90735e-05
8 2.81334e-05
9 3.98159e-05
10 6.00815e-05
11 7.29561e-05
12 9.48906e-05
13 0.000118971
14 0.000156164
15 0.000181198
16 0.000230074
17 0.000265121
18 0.000322104
19 0.000564098
20 0.000518084
21 0.000516176
22 0.000575066
23 0.000679016
24 0.000735044
25 0.00087595
26 0.000832081
27 0.000970125
28 0.00110698
29 0.00157595
30 0.00142598
31 0.0014739
32 0.00197816
33 0.00231099
34 0.00231004
35 0.00270104
36 0.00250196
37 0.00258803
38 0.00273108
39 0.00279307
40 0.00322413
41 0.00351095
42 0.00391293
43 0.00401402
44 0.00403404
45 0.00464821
46 0.00515389
47 0.00552917
48 0.00525904
49 0.00578403
50 0.00643015
51 0.00669289
52 0.00712895
53 0.0072
54 0.00843406
55 0.011019
56 0.01125
57 0.0123131
58 0.0164568
59 0.014467
60 0.014837
61 0.014003
62 0.0130351
63 0.0136721
64 0.013787
65 0.0149331
66 0.017689
67 0.0225039
68 0.0296581
69 0.026891
70 0.026063
71 0.0229051
72 0.0228162
73 0.02264
74 0.0209191
75 0.0209699
76 0.022964
77 0.0228589
78 0.0241261
79 0.02458
80 0.026402
81 0.027072
82 0.0285161
83 0.029294
84 0.031914
85 0.0310349
86 0.0324101
87 0.0318711
88 0.0329351
89 0.0379879
90 0.042331
91 0.0390911
92 0.0376759
93 0.0375221
94 0.0392289
95 0.041013
96 0.0421031
97 0.043535
98 0.045316
99 0.0528538
100 0.0681751
